Experiment_ID,Catalyst,Dosage_g_L,Light_Source,pH,Time_min,Degradation_Efficiency
EXP_081,TiO2/GO,1.33,UV,3.8,60,90.65
EXP_082,TiO2,0.46,Solar,3.7,60,78.36
EXP_083,ZnO,1.02,Solar,8.6,90,92.1
EXP_084,TiO2,1.24,Visible,3.6,90,75.24
EXP_085,TiO2,0.88,Solar,9.6,60,84.18
EXP_086,ZnO,0.84,Visible,8.6,120,93.34
EXP_087,TiO2/GO,0.44,UV,3.7,30,87.65
EXP_088,TiO2,0.23,Visible,3.7,30,50.28
EXP_089,ZnO,1.36,UV,10.9,120,97.14
EXP_090,TiO2,1.36,Visible,6.0,60,68.9
EXP_091,TiO2,0.99,Solar,6.0,90,99.9
EXP_092,TiO2,0.57,Solar,9.5,30,67.72
EXP_093,TiO2,0.59,UV,10.6,150,99.9
EXP_094,TiO2/GO,1.12,UV,10.9,150,99.9
EXP_095,TiO2,1.36,UV,9.0,120,99.9
EXP_096,TiO2,1.34,Visible,6.0,60,82.21
EXP_097,TiO2,1.19,Visible,3.7,30,60.27
EXP_098,TiO2/GO,1.0,UV,9.2,60,95.77
EXP_099,TiO2,0.22,Solar,7.5,30,72.55
EXP_100,TiO2,0.33,Visible,6.4,120,97.1
EXP_101,TiO2/GO,1.36,Visible,10.3,120,85.27
EXP_102,TiO2/GO,0.95,Visible,3.9,150,99.9
EXP_103,TiO2/GO,0.11,UV,6.9,60,80.28
EXP_104,TiO2,0.24,UV,3.1,150,99.9
EXP_105,TiO2/GO,1.03,UV,6.7,60,
EXP_106,TiO2/GO,0.11,UV,3.5,150,99.9
EXP_107,TiO2,0.33,UV,4.0,90,93.8
EXP_108,TiO2/GO,0.87,Solar,3.9,90,99.9
EXP_109,TiO2,1.07,Solar,8.2,90,99.9
EXP_110,ZnO,1.01,UV,9.0,90,83.18
EXP_111,TiO2/GO,0.41,Visible,7.7,30,74.21
EXP_112,ZnO,1.1,UV,10.7,90,96.25
EXP_113,TiO2,0.43,Solar,6.0,120,99.9
EXP_114,TiO2/GO,0.56,Solar,5.3,120,99.9
EXP_115,TiO2,1.15,Visible,9.9,30,58.79
EXP_116,ZnO,1.01,Solar,4.8,90,91.38
EXP_117,TiO2,1.29,UV,10.7,90,94.56
EXP_118,TiO2/GO,1.02,Visible,3.1,90,99.9
EXP_119,TiO2/GO,0.9,UV,10.8,150,99.9
EXP_120,ZnO,0.23,UV,3.3,60,72.25
EXP_121,TiO2,0.61,Visible,10.1,150,99.9
EXP_122,TiO2/GO,0.47,UV,7.2,60,99.41
EXP_123,ZnO,0.44,Solar,10.9,90,89.97
EXP_124,TiO2/GO,1.46,UV,3.6,90,89.3
EXP_125,TiO2/GO,0.65,Visible,7.4,150,99.9
EXP_126,TiO2,1.35,Visible,10.8,150,
EXP_127,TiO2/GO,0.98,Visible,7.2,60,150.5
EXP_128,TiO2,1.21,UV,8.0,120,99.9
EXP_129,TiO2/GO,0.8,Visible,8.6,60,90.37
EXP_130,ZnO,0.91,Visible,6.6,150,
EXP_131,TiO2/GO,0.79,UV,8.0,150,99.9
EXP_132,TiO2,0.37,Solar,7.7,30,66.83
EXP_133,TiO2,1.11,UV,10.2,150,99.9
EXP_134,ZnO,0.49,Visible,3.4,30,55.04
EXP_135,TiO2/GO,0.13,Visible,5.2,120,99.9
EXP_136,TiO2/GO,1.0,UV,10.6,60,92.79
EXP_137,ZnO,0.35,Solar,10.1,60,75.25
EXP_138,TiO2/GO,1.42,Visible,6.6,30,73.38
EXP_139,TiO2/GO,1.44,Visible,8.0,60,
EXP_140,TiO2,1.38,Visible,5.2,150,99.9
EXP_141,TiO2/GO,0.62,UV,4.5,90,99.9
EXP_142,TiO2/GO,0.12,Visible,6.7,30,57.2
EXP_143,ZnO,1.4,Solar,5.8,60,64.73
EXP_144,ZnO,0.7,Visible,7.7,30,71.2
EXP_145,TiO2,1.45,Visible,3.6,30,48.37
EXP_146,TiO2/GO,1.45,Solar,10.8,90,88.82
EXP_147,TiO2/GO,1.29,Visible,10.9,150,99.9
EXP_148,TiO2/GO,0.51,UV,8.6,30,79.19
EXP_149,TiO2,0.64,UV,7.3,60,99.9
EXP_150,TiO2,1.29,UV,5.5,120,99.9
